CLE_ECO,REG_ECOL,LONGITUDE,LATITUDE,ALTITUDE,EXPOSITION,VERSANT,SITUATION,FORME_PENT,CLASS_PENT,FORCE_PENT,PENT_ARRI,HUMUS,HUMUS_EPAI,INDURATION,PIER_PRC,DENSITE,CLASSE_AGE,SUBMERSION,SEEPAGE
02700805,3b,-75.37676207,45.84657997,330,E,M,5,I,F,48,1,MD,6,NO,15,B,JIN,10,NON_SP
02700806,3b,-75.3764158,45.84779128,330,E,M,5,I,D,23,0,MD,3,NO,5,B,30,10,SP
02701704,3b,-75.1908314,45.81255892,270,N,M,5,R,D,30,2,MD,6,NO,30,B,JIN,10,NON_SP
02701801,3b,-75.03430746,45.86766917,200,N,B,7,R,C,12,1,MD,3,NO,1,B,JIN,10,SP
02701802,3b,-75.034973,45.86586912,260,N,M,2,I,F,53,0,MD,4,NO,5,D,JIN,10,NON_SP
02701803,3b,-75.03571527,45.86408805,320,N,H,4,X,C,15,2,MD,6,FR,15,A,50,10,SP
02701804,3b,-75.03653155,45.861939,330,O,H,4,R,D,23,0,MD,9,NO,2,A,50,10,NON_SP
02701805,3b,-75.03698755,45.86075711,330,O,H,4,R,D,20,0,MD,3,NO,10,A,JIN,10,NON_SP
02701806,3b,-75.03743764,45.8598001,300,O,H,5,R,E,40,2,MD,6,NO,5,B,50,10,NON_SP
02701807,3b,-75.03799174,45.85831353,240,O,M,5,X,D,25,2,MR,5,NO,10,A,JIN,10,NON_SP
02702101,3b,-75.66072575,45.94735602,230,N,B,5,R,C,11,1,MD,7,NO,30,C,JIN,10,NON_SP
02702102,3b,-75.66226265,45.94636855,240,Totale,B,6,R,A,2,0,MD,6,NO,25,C,JIN,10,NON_SP
02702103,3b,-75.6637346,45.94540757,260,N,B,5,R,C,15,0,MD,10,NO,20,B,JIN,10,NON_SP
02702104,3b,-75.66619512,45.94388694,250,O,B,5,R,B,7,1,MD,8,NO,20,B,JIN,10,NON_SP
02702105,3b,-75.66848691,45.942428,250,Totale,B,0,R,A,0,0,SO,99,NO,0,C,VIN,20,NON_SP
02702106,3b,-75.6702582,45.94127117,250,Totale,B,3,X,A,3,0,MD,9,NO,35,C,JIN,10,NON_SP
02702201,3b,-75.71245354,45.96157175,170,N,M,5,R,D,22,2,MR,12,NO,20,C,JIN,10,NON_SP
02702202,3b,-75.71124409,45.96224724,260,Totale,B,0,R,A,2,0,MD,4,NO,2,C,JIN,10,NON_SP
02702203,3b,-75.70822859,45.96380999,260,S,B,7,C,D,25,0,MD,15,NO,15,C,JIN,10,NON_SP
02702204,3b,-75.70646095,45.96471549,260,Totale,B,4,X,D,17,0,MD,6,NO,25,C,VIN,10,NON_SP
02702205,3b,-75.70267266,45.96346543,280,S,B,4,I,E,40,0,MD,6,NO,25,D,JIN,10,NON_SP
02702206,3b,-75.70133487,45.96228639,280,E,B,4,R,D,19,0,MD,6,NO,25,C,50,10,NON_SP
02702301,3b,-75.56713566,45.92345204,280,E,M,5,X,F,49,0,MD,6,NO,20,B,JIN,10,NON_SP
02702302,3b,-75.57100854,45.92392448,310,E,M,5,C,C,9,0,MD,4,NO,25,C,VIN,10,NON_SP
02702303,3b,-75.57564059,45.92449291,220,N,M,5,R,D,21,2,MD,12,NO,20,D,JIN,10,SP
02702304,3b,-75.57862589,45.92484994,220,N,M,5,R,E,40,1,MD,8,NO,0,B,JIN,10,NON_SP
02702305,3b,-75.58122523,45.9251588,260,N,M,5,R,F,70,1,MD,6,NO,5,D,120,10,NON_SP
02702306,3b,-75.58262759,45.92534103,250,N,M,2,I,F,65,1,MR,5,NO,10,B,JIN,10,NON_SP
02702401,3b,-76.1695894,46.69460866,255,Totale,B,4,X,C,10,0,MD,5,NO,25,B,JIN,10,NON_SP
02702402,3b,-76.16777143,46.69469336,255,E,B,4,R,B,7,2,TO,15,NO,35,B,JIN,10,SP
02702403,3b,-76.16590115,46.69477788,265,N,B,5,X,D,20,1,MR,5,NO,35,C,JIN,10,NON_SP
02702404,3b,-76.16246158,46.69490274,260,E,B,4,C,B,8,3,TO,10,NO,20,D,70,21,SP
02702405,3b,-76.16055194,46.69500505,255,Totale,B,0,R,A,2,0,SO,99,NO,0,B,JIN,20,NON_SP
02702406,3b,-76.15800174,46.69508742,250,Totale,B,0,R,A,1,0,SO,99,NO,0,NO,NO,10,NON_SP
02702501,3b,-75.75045125,45.97863503,230,E,B,6,X,D,20,1,MD,4,NO,40,B,JIN,10,NON_SP
02702502,3b,-75.75307991,45.97894017,305,Totale,H,3,X,E,35,0,NO,NO,NO,10,C,JIN,10,NON_SP
02702503,3b,-75.75622563,45.97918563,335,S,H,2,X,F,50,0,NO,NO,NO,15,C,JIN,10,NON_SP
02702504,3b,-75.75868815,45.97937259,305,O,H,4,R,D,26,0,MR,4,NO,40,B,JIN,10,NON_SP
02702505,3b,-75.76078887,45.97959314,260,O,M,5,R,D,30,1,MD,6,NO,30,A,JIN,10,NON_SP
02702601,3a,-76.39776797,45.84162666,230,N,B,4,X,D,18,0,MD,11,NO,2,C,50,10,NON_SP
02702602,3a,-76.40044717,45.84082821,245,E,B,5,R,D,22,0,MD,4,NO,0,B,JIN,10,NON_SP
02702603,3a,-76.40188985,45.84036157,245,Totale,B,6,R,B,6,0,MD,6,NO,35,B,JIN,10,NON_SP
02702604,3a,-76.40520003,45.83939259,245,O,B,5,R,D,23,0,MD,5,NO,10,B,JIN,10,NON_SP
02702605,3a,-76.40714483,45.83884532,260,Totale,M,5,R,B,7,0,MD,6,NO,10,C,JIN,10,NON_SP
02702606,3a,-76.40871621,45.8383337,260,E,M,7,R,D,16,0,MD,8,NO,5,D,JIN,10,NON_SP
02702607,3a,-76.4100943,45.83792089,260,O,M,4,X,E,38,1,MD,5,NO,30,C,50,10,NON_SP
02703501,3a,-76.54007324,45.78311576,215,S,B,5,R,D,20,0,MD,1,NO,20,A,JIN,10,NON_SP
02703502,3a,-76.53890409,45.7847718,245,E,M,5,R,C,14,1,MU,1,NO,20,NO,NO,10,NON_SP
02703503,3a,-76.53760645,45.78671579,260,N,M,4,R,B,6,0,MD,1,NO,35,C,30,10,NON_SP
02703504,3a,-76.5354221,45.78999176,290,O,H,5,R,D,19,1,MD,5,NO,35,C,30,10,NON_SP
02703505,3a,-76.5340471,45.79202572,290,E,H,5,R,C,15,0,MD,3,NO,35,B,50,10,NON_SP
02703506,3a,-76.53345593,45.7928627,260,E,M,5,R,D,18,3,MD,5,NO,35,A,50,10,NON_SP
02704101,3b,-75.78889598,45.84248297,245,E,B,6,I,D,27,0,MR,13,NO,5,A,JIN,10,NON_SP
02704102,3b,-75.79048178,45.84230387,235,N,B,8,R,A,2,0,SO,58,NO,0,B,JIN,20,NON_SP
02704801,3b,-74.80011787,45.80294442,225,Totale,M,3,I,C,10,0,MD,12,NO,15,B,JIN,10,NON_SP
02704802,3b,-74.8018131,45.80281714,215,E,M,5,R,D,27,1,MD,6,NO,25,A,JIN,10,NON_SP
02704803,3b,-74.80543442,45.80253287,255,Totale,M,4,I,D,22,0,MD,5,NO,20,C,VIN,10,NON_SP
02704804,3b,-74.80852774,45.80222754,235,O,M,6,R,A,3,0,MD,6,NO,25,C,90,10,NON_SP
02704805,3b,-74.81050546,45.8020789,220,N,M,5,R,E,40,0,MD,5,NO,35,B,VIN,10,NON_SP
02704806,3b,-74.8134463,45.80185617,250,E,M,5,R,D,22,0,MD,4,NO,15,B,90,10,NON_SP
02704901,3b,-74.87158878,45.80105593,200,S,M,7,R,C,15,0,MD,4,NO,5,D,30,10,NON_SP
02704902,3b,-74.87135761,45.80212047,215,E,M,6,R,B,8,0,MD,5,NO,15,C,JIN,10,NON_SP
02704903,3b,-74.87082601,45.80457431,235,Totale,M,0,R,A,2,0,MU,1,NO,10,B,JIN,10,NON_SP
02704904,3b,-74.87053287,45.80626046,235,Totale,M,0,R,A,3,0,SO,56,NO,0,C,JIN,20,NON_SP
02704905,3b,-74.87015849,45.8083075,240,S,M,4,R,B,8,0,MD,5,NO,35,C,30,10,NON_SP
02704906,3b,-74.8697302,45.81025621,225,Totale,B,0,R,A,1,0,SO,99,NO,0,C,50,10,NON_SP
02705101,3a,-76.32442845,46.27281732,255,E,B,5,I,E,31,0,MD,4,NO,5,B,JIN,10,NON_SP
02705102,3a,-76.32664986,46.27193899,260,O,M,4,R,D,26,0,MR,7,NO,15,B,JIN,10,NON_SP
02705103,3a,-76.32935189,46.27085439,250,Totale,B,4,X,C,10,0,MD,9,NO,45,C,JIN,10,NON_SP
02705104,3a,-76.33324899,46.26924963,245,O,B,7,C,D,29,0,MR,8,NO,50,B,120,10,NON_SP
02705105,3a,-76.33508032,46.2685685,240,Totale,B,0,R,A,3,0,TO,5,NO,20,B,JIN,10,NON_SP
02705106,3a,-76.33837939,46.26727761,215,S,B,5,R,C,15,0,MR,8,NO,0,B,50,10,NON_SP
02705201,3a,-76.40700476,46.36107731,220,S,B,5,I,D,18,0,MR,10,NO,50,C,120,10,NON_SP
02705202,3a,-76.40936808,46.36219485,250,N,B,5,R,E,33,1,MD,5,NO,20,C,120,10,NON_SP
02705203,3a,-76.4108873,46.36297879,280,Totale,M,4,R,B,7,0,MD,6,NO,25,C,VIN,10,NON_SP
02705204,3a,-76.41251043,46.36382577,275,Totale,M,0,C,A,0,0,SO,99,NO,0,D,JIN,20,NON_SP
02705205,3a,-76.41409475,46.36459172,260,S,B,8,C,C,13,1,MD,5,NO,20,C,JIN,10,NON_SP
02705206,3a,-76.41623759,46.36560098,240,N,B,5,R,D,16,1,MD,4,NO,1,C,90,10,NON_SP
02705207,3a,-76.41814665,46.36655605,245,O,B,7,R,B,8,0,MD,10,NO,5,C,120,10,NON_SP
02705301,3a,-76.29430054,46.35279676,315,Totale,M,0,R,A,3,0,MR,10,NO,1,C,10,10,NON_SP
02705302,3a,-76.29234727,46.35391786,320,Totale,M,3,X,A,2,0,MD,6,FR,1,A,JIN,10,NON_SP
02705303,3a,-76.2899249,46.35536197,305,N,M,5,R,B,8,1,MD,4,NO,0,A,JIN,10,NON_SP
02705304,3a,-76.28686432,46.35715572,305,N,M,5,R,D,24,1,MD,5,NO,40,A,JIN,10,NON_SP
02705305,3a,-76.28317837,46.35930809,270,N,B,5,R,D,16,1,MD,6,NO,1,D,70,10,NON_SP
02705306,3a,-76.28160222,46.36024979,250,N,B,5,R,D,22,2,MR,3,NO,0,D,70,10,NON_SP
02705401,3a,-76.314869,46.2141581,280,Totale,M,3,X,C,13,0,MD,5,NO,15,B,70,10,NON_SP
02705402,3a,-76.31341711,46.21424571,285,Totale,M,6,R,A,3,0,MD,7,NO,25,B,JIN,10,NON_SP
02705403,3a,-76.3102539,46.21447443,305,O,H,5,R,B,8,1,MD,5,NO,30,B,JIN,10,NON_SP
02705404,3a,-76.30694803,46.21472082,310,O,H,5,R,D,20,0,MD,4,NO,25,C,JIN,10,NON_SP
02705405,3a,-76.30447194,46.21487857,315,Totale,H,3,X,B,5,0,MR,5,NO,15,C,70,10,NON_SP
02705406,3a,-76.30054368,46.21518669,305,E,H,4,X,D,16,0,MD,5,NO,35,B,90,10,NON_SP
02705501,3a,-76.36860854,46.15795406,270,N,B,4,X,B,7,0,MR,10,NO,30,D,30,10,NON_SP
02705502,3a,-76.37012566,46.15699307,275,Totale,B,0,R,A,2,0,SO,88,NO,0,C,VIN,21,NON_SP
02705503,3a,-76.37274491,46.15530451,295,N,B,5,R,C,9,1,MD,7,NO,40,C,30,10,NON_SP
02705504,3a,-76.37509179,46.15375954,305,N,B,5,R,D,16,0,MD,6,NO,50,B,JIN,10,NON_SP
02705505,3a,-76.37707537,46.15252005,350,E,M,5,R,D,30,1,MD,5,NO,25,B,JIN,10,SP
02705506,3a,-76.37896822,46.15128943,335,O,M,4,R,D,27,0,MD,9,NO,25,D,90,10,NON_SP
02705601,3a,-76.41478329,46.19736127,280,Totale,B,7,C,B,8,0,MD,6,NO,60,C,50,10,NON_SP
02705602,3a,-76.41673941,46.19759664,285,Totale,B,0,C,A,1,0,TO,12,NO,40,C,JIN,21,NON_SP
02705603,3a,-76.41996502,46.19803982,310,Totale,M,4,R,A,3,0,MD,5,NO,20,C,VIN,10,NON_SP
02705604,3a,-76.42627402,46.19880883,305,Totale,M,4,R,A,3,0,MR,9,NO,15,C,JIN,10,NON_SP
02705605,3a,-76.42908522,46.1991885,285,N,B,5,R,C,10,1,MD,5,NO,40,B,50,10,SP
02705606,3a,-76.43206493,46.1995502,275,Totale,B,4,X,D,20,1,MD,8,NO,25,C,70,10,SP
02705701,3a,-76.20321392,46.18738963,245,O,B,5,R,D,28,1,MD,4,NO,30,C,30,10,NON_SP
02705702,3a,-76.19732078,46.18718524,240,Totale,B,0,R,A,0,0,SO,99,NO,0,C,50,20,NON_SP
02705703,3a,-76.19537785,46.18714409,240,Totale,B,0,R,A,1,0,SO,99,NO,0,B,JIN,20,NON_SP
02705704,3a,-76.192127,46.18701841,255,Totale,B,3,X,C,13,0,MD,4,NO,30,B,JIN,10,NON_SP
02705705,3a,-76.18966616,46.18693078,250,Totale,B,0,I,C,12,0,MD,6,NO,35,B,50,10,NON_SP
02705706,3a,-76.18635062,46.18679577,270,N,B,5,R,C,15,1,MD,4,NO,35,B,JIN,10,NON_SP
02705901,3a,-76.12302674,46.15315223,195,O,B,7,C,B,8,0,MU,1,NO,20,C,50,10,NON_SP
02705902,3a,-76.11987228,46.15250296,200,S,B,5,R,C,10,0,MD,6,NO,25,A,50,10,NON_SP
02705903,3a,-76.11669226,46.15181754,260,O,B,5,R,F,45,2,MR,5,NO,10,C,30,10,NON_SP
02705904,3a,-76.11316329,46.15105887,290,E,M,5,R,D,30,1,MR,8,NO,30,A,50,10,NON_SP
02705905,3a,-76.10883289,46.15014439,215,E,B,5,R,D,29,0,MD,6,NO,35,A,JIN,10,NON_SP
02706101,3a,-76.21439885,46.28884437,265,E,B,7,C,D,27,0,MD,5,NO,50,B,70,10,NON_SP
02706102,3a,-76.21307165,46.28949785,295,N,M,4,X,D,21,0,MD,6,NO,20,A,50,10,NON_SP
02706103,3a,-76.20958433,46.2912165,305,N,M,4,X,D,20,0,MR,6,NO,15,C,50,10,NON_SP
02706104,3a,-76.20535472,46.29335601,305,S,M,4,X,D,16,0,MD,8,NO,20,B,JIN,10,NON_SP
02706105,3a,-76.20275196,46.29462687,290,O,M,5,R,E,37,1,MR,3,NO,25,B,30,10,NON_SP
02706106,3a,-76.20065637,46.29570107,245,S,B,7,R,B,4,2,MD,3,NO,55,C,50,10,NON_SP
02706201,3a,-76.19654007,46.34297921,180,S,B,8,C,D,20,0,MR,5,NO,0,C,50,21,NON_SP
02706202,3a,-76.19333992,46.34375342,205,O,B,5,R,D,23,0,MR,5,NO,60,C,50,10,NON_SP
02706203,3a,-76.19080345,46.34431341,215,Totale,B,0,R,B,8,0,MR,4,NO,0,B,JIN,10,NON_SP
02706204,3a,-76.18787638,46.34501623,230,S,B,5,R,C,13,1,MR,5,NO,10,C,50,10,NON_SP
02706205,3a,-76.18533938,46.34564807,240,S,B,5,R,D,23,1,MR,5,NO,15,C,50,10,NON_SP
02706206,3a,-76.1822824,46.3463234,230,E,B,5,R,D,26,0,MR,5,NO,40,C,50,10,NON_SP
02706401,3a,-76.21075733,46.11497082,265,Totale,B,0,X,C,10,0,MR,6,NO,35,A,JIN,10,NON_SP
02706402,3a,-76.2121314,46.11445244,265,Totale,B,3,I,D,16,0,MR,6,NO,5,B,50,10,NON_SP
02706403,3a,-76.21377745,46.11387174,270,N,B,7,R,D,16,2,MD,7,NO,25,B,JIN,10,SP
02706404,3a,-76.21555307,46.11324635,305,E,M,5,R,F,45,1,MR,4,NO,50,A,JIN,10,NON_SP
02706405,3a,-76.21920817,46.11189677,340,Totale,H,3,X,D,25,0,MR,5,NO,20,B,70,10,NON_SP
02706406,3a,-76.22199483,46.11085087,335,E,H,2,I,D,23,0,MR,4,NO,10,B,70,10,NON_SP
02706601,3a,-76.42704033,46.07001109,275,N,B,5,X,E,32,1,MR,9,NO,45,B,70,10,NON_SP
02706602,3a,-76.42697705,46.06898533,285,O,B,5,R,E,33,1,MR,3,NO,35,C,VIN,10,NON_SP
02706603,3a,-76.42682359,46.06772557,300,N,B,6,C,C,15,2,MD,9,NO,30,A,50,10,NON_SP
02706604,3a,-76.42669623,46.06628589,315,N,M,5,R,D,18,1,MD,5,NO,10,B,JIN,21,SP
02706605,3a,-76.42656896,46.06478321,325,O,M,5,R,B,6,0,MD,5,NO,25,B,JIN,10,NON_SP
02706606,3a,-76.42645422,46.06358647,320,O,M,4,X,D,18,0,MR,4,OC,15,C,90,10,NON_SP
02706607,3a,-76.42634033,46.06175089,320,N,M,4,X,D,17,0,MD,10,NO,40,C,90,10,NON_SP
02706701,3a,-76.28496512,46.11202139,210,E,B,8,C,B,4,1,MD,10,NO,0,C,JIN,10,NON_SP
02706702,3a,-76.29017055,46.11074442,285,S,H,4,X,D,25,0,MD,4,NO,20,B,50,10,NON_SP
02706703,3a,-76.29340763,46.10994954,285,N,H,5,R,B,5,0,MD,7,NO,35,B,70,10,NON_SP
02706704,3a,-76.29523337,46.10948496,280,O,H,4,X,D,26,0,MR,10,NO,25,C,70,10,NON_SP
02706705,3a,-76.29830188,46.10876162,255,N,B,5,R,B,6,0,MD,5,NO,30,B,70,10,NON_SP
02706706,3a,-76.29938958,46.10846662,255,O,B,5,X,C,14,0,MR,7,NO,40,C,70,10,NON_SP
02706801,3a,-76.34814088,46.0393058,300,O,M,7,R,D,17,0,MD,5,NO,40,B,VIN,10,NON_SP
02706802,3a,-76.34360098,46.03651943,305,O,M,8,C,B,5,3,MD,5,OD,50,B,VIN,20,SP
02706803,3a,-76.34205348,46.03553656,325,N,M,5,R,C,14,3,MD,6,NO,35,B,VIN,10,SP
02706804,3a,-76.34011926,46.03428321,330,Totale,M,3,X,A,2,0,MD,5,NO,20,C,JIN,10,NON_SP
02706805,3a,-76.3370116,46.03233534,315,Totale,M,8,R,A,2,0,SO,99,NO,0,C,JIN,20,NON_SP
02706806,3a,-76.33632803,46.03196546,310,Totale,M,4,R,D,20,0,MD,5,NO,15,B,90,10,NON_SP
02706901,3a,-76.70048379,45.97347613,280,Totale,M,0,R,A,1,0,SO,92,NO,0,C,JIN,21,SP
02706902,3a,-76.70117496,45.97190932,285,Totale,M,3,X,B,4,0,MD,6,NO,30,B,JIN,10,NON_SP
02706903,3a,-76.70196837,45.97008139,290,O,M,5,R,B,7,0,MD,8,NO,35,C,JIN,10,NON_SP
02706904,3a,-76.70294099,45.96787523,245,N,B,5,R,F,45,0,MD,6,NO,55,D,50,10,NON_SP
02706905,3a,-76.70392565,45.96545309,200,Totale,B,0,R,A,3,0,SO,99,NO,0,C,50,21,SP
02706906,3a,-76.70430981,45.96466061,180,Totale,B,0,R,A,3,0,TO,40,NO,0,B,VIN,10,NON_SP
02707001,3a,-76.63214383,45.97978398,275,Totale,B,0,R,A,2,0,SO,99,NO,0,C,JIN,20,NON_SP
02707002,3a,-76.62965423,45.9803177,275,Totale,B,0,R,A,0,0,SO,99,NO,0,C,120,21,NON_SP
02707003,3a,-76.62735809,45.98081515,290,S,M,5,R,B,7,1,MD,8,NO,65,C,JIN,10,NON_SP
02707004,3a,-76.62542296,45.9811682,290,E,M,4,R,B,8,0,MD,8,NO,40,D,JIN,10,NON_SP
02707005,3a,-76.62292027,45.98167479,290,Totale,M,0,R,A,0,0,SO,99,NO,0,B,50,20,NON_SP
02707006,3a,-76.61912739,45.98241661,290,O,M,5,R,D,21,0,MD,8,NO,20,C,JIN,10,NON_SP
02707101,3a,-76.51890549,45.93686776,275,E,M,5,R,C,15,1,MD,6,NO,20,A,JIN,10,NON_SP
02707102,3a,-76.51856906,45.93345766,270,S,M,6,R,A,2,0,MR,6,NO,35,B,30,20,NON_SP
02707103,3a,-76.51849117,45.93190107,280,E,M,5,R,C,15,0,MD,8,NO,35,B,30,10,NON_SP
02707104,3a,-76.51833593,45.93038047,270,Totale,M,7,R,A,1,0,SO,80,NO,0,C,30,20,NON_SP
02707105,3a,-76.51820642,45.92865292,280,S,M,5,R,D,24,1,MD,7,NO,30,B,JIN,10,NON_SP
02707106,3a,-76.51803825,45.92695237,255,S,B,5,X,D,21,1,MD,5,NO,30,A,30,10,NON_SP
02707201,3a,-76.28844967,45.93134684,165,Totale,B,0,R,A,2,0,MD,5,NO,0,B,30,10,NON_SP
02707202,3a,-76.28609905,45.93233222,165,Totale,B,0,R,A,2,0,MD,5,NO,0,D,JIN,10,NON_SP
02707203,3a,-76.28404542,45.93319214,165,Totale,B,0,R,A,2,0,MR,5,NO,0,D,JIN,10,NON_SP
02707204,3a,-76.28228892,45.93389963,165,Totale,B,0,R,A,2,0,MR,4,NO,2,D,JIN,10,NON_SP
02707205,3a,-76.27754822,45.93593299,165,E,B,4,R,C,15,0,MR,7,NO,15,B,JIN,10,NON_SP
02707206,3a,-76.27572674,45.93672123,160,Totale,B,0,R,A,0,0,SO,99,NO,0,C,50,20,NON_SP
02707301,3a,-76.45254383,45.95080595,280,E,B,5,R,D,18,0,MD,3,NO,40,A,50,10,NON_SP
02707302,3a,-76.45090435,45.95225389,275,N,B,4,X,C,12,0,MD,4,NO,15,A,JIN,10,NON_SP
02707303,3a,-76.45006517,45.95304533,260,Totale,B,0,R,A,2,0,SO,99,NO,0,B,VIN,20,NON_SP
02707304,3a,-76.44808992,45.95475401,255,Totale,B,0,I,B,5,0,MD,8,NO,40,B,JIN,10,NON_SP
02707305,3a,-76.44678586,45.95595011,255,Totale,B,3,X,B,4,0,MR,8,NO,25,C,JIN,10,NON_SP
02707306,3a,-76.44491356,45.95771277,255,Totale,B,0,R,A,3,0,SO,70,NO,0,B,JIN,20,NON_SP
02707401,3a,-76.39476678,45.89023036,240,O,B,7,C,C,12,2,MU,1,NO,35,NO,NO,41,NON_SP
02707402,3a,-76.39277232,45.88880685,250,O,B,5,R,C,15,2,MD,8,NO,30,C,30,10,NON_SP
02707403,3a,-76.39082922,45.88752732,245,Totale,B,0,I,C,10,0,MD,4,NO,15,D,30,10,NON_SP
02707404,3a,-76.3896456,45.88663539,275,O,B,5,R,E,35,1,MR,5,NO,50,C,JIN,10,NON_SP
02707405,3a,-76.38678921,45.88469807,270,Totale,B,4,R,C,10,0,MD,4,NO,35,D,JIN,10,NON_SP
02707406,3a,-76.38527101,45.8836798,230,S,B,4,X,D,28,0,MD,4,NO,30,B,JIN,10,NON_SP
02708101,3a,-76.67299103,46.24026924,240,Totale,B,0,R,A,3,0,MR,6,NO,0,C,50,10,NON_SP
02708102,3a,-76.6702781,46.2393466,245,Totale,B,0,R,A,2,0,MR,5,NO,0,C,50,10,NON_SP
02708103,3a,-76.66851288,46.23877339,245,Totale,B,0,R,A,1,0,MR,5,NO,0,D,90,10,NON_SP
02708104,3a,-76.66559253,46.23781494,245,Totale,B,0,R,A,2,0,MR,5,NO,0,D,90,10,NON_SP
02708105,3a,-76.6625295,46.23680265,245,Totale,B,0,R,A,3,0,MR,5,NO,0,C,90,10,NON_SP
02708106,3a,-76.66019334,46.23602318,245,Totale,B,0,R,A,1,0,MR,5,NO,0,C,90,10,NON_SP
02708107,3a,-76.65797409,46.23529749,245,Totale,B,7,C,C,10,0,MR,5,NO,0,C,90,10,NON_SP
02708201,3b,-76.20540141,46.78849476,260,Totale,B,0,R,A,1,0,SO,99,NO,0,C,70,20,NON_SP
02708202,3b,-76.2035481,46.78729345,260,N,B,6,R,B,4,3,MD,10,NO,30,D,90,10,SP
02708203,3b,-76.20157719,46.78605582,290,N,M,5,R,D,22,2,MD,5,NO,40,C,JIN,10,NON_SP
02708204,3b,-76.19806653,46.7838155,350,N,H,5,R,D,25,1,MD,5,NO,40,C,JIN,10,NON_SP
02708205,3b,-76.19725737,46.78330957,350,S,H,4,I,C,12,0,MD,5,NO,25,C,70,10,NON_SP
02708206,3b,-76.19483011,46.78176473,335,S,M,5,R,B,8,2,MD,5,NO,25,C,JIN,10,SP
02708301,3b,-76.1267197,46.77368199,290,S,B,5,R,D,17,1,MD,3,NO,35,D,90,10,NON_SP
02708302,3b,-76.12614371,46.77555137,290,S,B,5,R,B,7,1,MD,6,NO,30,D,JIN,20,NON_SP
02708303,3b,-76.12518062,46.77847205,305,E,M,5,R,C,9,1,MD,5,NO,25,C,JIN,10,NON_SP
02708304,3b,-76.12459123,46.78036837,290,Totale,B,3,R,A,2,0,MD,7,NO,30,B,70,10,NON_SP
02708305,3b,-76.12431022,46.7812311,290,N,B,6,R,B,5,1,MD,5,NO,30,C,70,20,NON_SP
02708306,3b,-76.12369314,46.78333424,260,N,B,5,R,D,19,2,MD,6,NO,20,C,VIN,10,NON_SP
02708401,3a,-76.57873748,46.18770277,300,O,B,5,X,C,10,0,MR,3,NO,25,D,30,10,NON_SP
02708402,3a,-76.57472358,46.18917204,325,O,M,5,R,C,11,0,MR,8,NO,25,C,30,10,NON_SP
02708403,3a,-76.57174543,46.19029861,325,E,M,5,R,D,16,0,MD,7,NO,10,B,JIN,10,NON_SP
02708404,3a,-76.56892252,46.19134404,320,E,M,5,R,C,12,0,MR,4,NO,25,C,JIN,10,NON_SP
02708405,3a,-76.56612542,46.19239838,315,Totale,B,3,X,C,12,0,MR,2,NO,30,B,70,10,NON_SP
02708406,3a,-76.56492103,46.19280395,310,E,B,7,C,C,10,1,MD,5,NO,25,B,JIN,10,NON_SP
02708501,3b,-76.37701982,46.66926243,320,Totale,B,6,R,C,12,0,MD,11,NO,15,C,90,10,NON_SP
02708502,3b,-76.37784157,46.66997404,335,E,M,5,R,C,15,1,MD,5,NO,25,C,VIN,10,NON_SP
02708503,3b,-76.3784023,46.67053243,350,Totale,H,3,X,B,4,0,MD,5,NO,10,C,90,10,NON_SP
02708504,3b,-76.38054135,46.67249593,350,Totale,H,6,R,B,5,0,MD,6,NO,20,B,90,10,NON_SP
02708505,3b,-76.38217184,46.67399106,320,N,B,5,R,C,9,1,MR,10,NO,15,B,JIN,10,NON_SP
02708506,3b,-76.38412839,46.67585535,320,S,B,5,R,C,10,0,MR,10,NO,20,B,VIN,10,NON_SP
02708601,3a,-76.49448618,46.65605841,290,O,B,5,R,C,9,0,MR,5,NO,35,B,30,10,NON_SP
02708602,3a,-76.49264387,46.65619325,290,S,B,7,X,C,10,0,SO,99,NO,0,C,30,20,NON_SP
02708603,3a,-76.49125887,46.65628312,275,Totale,B,6,R,B,7,0,MR,7,NO,35,B,30,10,NON_SP
02708604,3a,-76.48937734,46.6564539,275,E,B,7,X,C,10,0,MR,5,NO,25,C,30,10,NON_SP
02708605,3a,-76.48348445,46.65684905,275,E,B,6,X,C,9,1,MD,5,OD,25,C,30,10,NON_SP
02708606,3a,-76.48219086,46.65696581,260,E,B,7,X,D,17,0,MR,5,NO,35,C,50,10,NON_SP
02708701,3b,-76.33689103,46.59322657,245,E,B,5,R,D,30,2,MD,7,NO,20,B,JIN,10,NON_SP
02708702,3b,-76.33872161,46.59205959,275,E,B,5,R,D,26,1,MD,7,NO,20,A,70,10,NON_SP
02708703,3b,-76.34145443,46.59025507,305,N,M,5,R,C,12,1,MD,7,NO,35,B,VIN,10,NON_SP
02708704,3b,-76.3424876,46.58949178,305,E,M,4,R,D,18,0,MR,4,NO,40,B,VIN,10,NON_SP
02708705,3b,-76.34430493,46.5883067,290,O,B,5,R,C,12,2,MD,6,NO,45,C,JIN,10,NON_SP
02708706,3b,-76.34633117,46.5870499,290,Totale,B,8,R,B,5,0,MD,4,NO,75,C,JIN,10,NON_SP
02708801,3b,-76.26791879,46.53174955,275,S,B,5,R,C,12,0,MR,15,NO,35,C,JIN,21,NON_SP
02708802,3b,-76.26887811,46.53301104,305,S,M,5,R,C,14,0,MD,5,OC,35,B,JIN,10,NON_SP
